Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
206,0.0093606,1004,1077,1071,1110,39,46.5,48.9,46.8,102,114,127,126,54,12,17,17
207,0.010227,1024,1022,1101,1048,41.7,40.2,43.3,45.8,104,110,127,119,46,15,18,17
208,0.011814,1093,1004,981,934,36,45.3,38.7,22.5,100,117,119,116,27,27,22,16
209,0.0089007,1103,1048,995,992,34.4,44.7,40.2,27.2,101,117,125,116,26,24,23,15
210,0.010661,1082,1064,1081,1050,37.1,37.3,41.6,42.1,108,119,129,120,20,24,20,10
211,0.019064,1007,1033,1202,1090,43.9,58.8,46.3,58.4,88,107,107,115,30,22,18,16
212,0.013695,1087,1115,1050,1058,33.2,50.6,50.3,44.5,86,97,102,109,36,18,21,15
213,0.015013,1117,1066,1007,1076,26.7,46.4,53,39.2,101,103,100,117,31,11,16,17
214,0.019407,1125,978,1011,1012,27.2,51,45.8,39.6,105,115,112,114,28,22,25,22
215,0.020196,1087,1026,999,976,32.6,50.8,44,44.3,93,120,111,105,34,15,13,13
216,0.027776,1060,1072,1012,992,35.2,47.6,49,49.5,99,112,107,112,38,20,19,18
217,0.060192,1102,1113,1085,1082,33.4,51.1,53.9,48.8,106,113,115,120,34,20,15,18
218,0.045355,1128,1120,1063,1080,29,53,48,48.4,107,114,128,117,38,18,11,13
219,0.024681,1119,1124,1016,1071,26.5,49.1,45,49.1,103,117,131,124,38,25,18,15
220,0.017945,1046,1073,1042,1116,33.5,49,47.8,46.8,102,114,127,126,41,12,16,16
221,0.021619,1052,1009,1078,1068,41,49,44.6,45.7,104,110,127,119,36,16,20,11
222,0.015121,1106,979,979,911,42.5,47.7,42.5,32.9,100,117,119,116,29,24,18,11
223,0.007791,1117,1025,963,958,35.1,51.9,43.3,27.1,101,117,125,116,33,21,21,13
224,0.010768,1103,1046,1024,1029,31.5,50.4,41.1,34.3,108,119,129,120,29,23,16,15
225,0.017111,1039,1092,1091,1095,33.2,48.2,47.8,58.5,90,109,107,107,36,19,21,22
226,0.013438,982,1128,1093,1055,38.5,51.4,47.6,49,85,101,109,96,38,19,16,17
227,0.014595,1007,1136,1054,1039,44.7,44.1,42.1,45.5,102,106,110,119,31,11,14,18
228,0.01183,1062,1136,1015,973,36.9,43.8,57.5,46.8,107,119,122,112,23,32,29,23
229,0.014622,1081,1077,1002,949,25.6,45.7,61.1,43.2,89,119,114,108,26,24,14,22
230,0.019178,1086,1053,989,960,25.2,45.4,53.7,40.5,94,117,112,117,31,17,9,16
231,0.020625,1096,1089,1050,1065,37.9,48.7,39.8,49.4,105,112,109,120,27,13,9,11
232,0.031483,1097,1120,1086,1062,36.9,54.7,46.2,50.5,109,113,128,125,37,16,9,13
233,0.032934,1108,1114,1082,1051,27.7,55.1,48.7,50,113,118,125,130,35,22,11,12
234,0.025209,1066,1072,1017,1082,21.3,54,39,46.4,114,122,128,126,29,24,14,16
235,0.013796,1024,1035,1019,1071,30.9,62.1,38.3,39.4,103,116,121,119,27,27,16,12
236,0.015569,1040,1013,1047,952,44.2,56.7,48.4,48.9,103,111,119,129,31,16,22,19
237,0.012854,1078,1040,1025,972,42.1,50.1,53,56.1,109,112,119,126,36,14,22,21
238,0.0084164,1089,1065,1012,1035,34.3,54.1,54.2,55.5,113,121,123,127,38,20,16,19
239,0.016265,1118,1126,1045,1040,36.6,49.8,55.1,59.9,90,109,107,107,38,23,12,18
240,0.014549,1015,1120,1123,1066,39.8,55.8,56.6,43.8,85,101,109,96,38,24,14,19
241,0.012893,1028,1112,1104,1066,47.9,48.8,45,44.2,102,106,110,119,22,15,13,16
242,0.030212,1058,1142,1064,1016,42.6,47.1,59.8,59.8,107,119,122,112,18,26,23,21
243,0.029598,1068,1099,1032,991,30.7,51.3,67.9,52.1,89,119,114,108,15,21,18,25
244,0.032425,1089,1041,1012,1002,23.3,50.5,61.5,42.3,94,117,112,117,26,10,8,15
245,0.021089,1089,1021,1025,1084,34.2,47.2,38.1,45.8,105,112,109,120,25,8,21,17
246,0.018083,1080,1061,1049,1077,35.7,54.5,41.6,48.5,109,113,128,125,33,15,14,12
247,0.024104,1095,1089,1056,1052,31.5,60.2,45,48.4,113,118,125,130,32,22,15,12
248,0.026605,1084,1056,1033,1060,17.6,53.5,34.9,42.7,114,122,128,126,30,27,15,15
249,0.031446,1031,1033,1020,1059,22.3,53.4,33.4,36.1,103,116,121,119,35,26,15,10
250,0.042798,1021,1032,1077,984,37.5,54.8,49.7,39.3,103,111,119,129,37,13,24,15
251,0.01941,1064,1056,1090,1004,40.8,46.8,54.5,51.8,109,112,119,126,37,12,19,19
252,0.01996,1080,1069,1061,1058,37.7,46.4,55.7,56.6,113,121,123,127,41,17,15,17
253,0.012989,1148,1076,1105,989,48.9,49.5,52.5,87.2,87,96,100,100,30,19,10,16
254,0.014116,1084,1101,1109,1068,38.8,61.8,53.1,53.2,79,100,102,99,30,23,16,16
255,0.020712,1094,1079,1095,1114,41.5,51.1,45.1,46.4,94,100,109,106,19,16,8,18
256,0.060708,1097,1053,1055,1071,40.9,56.5,54.3,58.2,86,101,114,100,23,16,18,16
257,0.038726,1058,1066,1031,1059,37.5,65.5,60.3,53.7,83,104,107,107,28,18,12,23
258,0.028505,1047,1048,1029,1059,31.6,60.4,53.7,47.8,95,108,105,107,26,18,17,25
259,0.023558,1075,968,1100,1103,25.1,46.2,46.8,47,97,102,109,106,23,17,18,25
260,0.015292,1077,963,1096,1111,29.1,55.9,53.1,44.3,92,109,117,114,26,18,17,18
261,0.015047,1090,995,1050,1075,35.3,63.4,53,42.7,112,111,114,120,28,24,18,18
262,0.027789,1148,1028,1002,965,34.5,56.6,37.6,45,117,121,112,114,44,26,23,7
263,0.049913,1117,1020,1035,978,28.4,51.2,34.8,44.6,94,111,106,109,42,23,19,3
264,0.099128,1038,1052,1095,1045,27.3,43.6,41.3,42.1,97,102,110,116,31,17,16,16
265,0.030728,1056,1077,1107,1044,33.7,42.5,48.7,45.6,106,106,106,115,33,17,17,19
